Age_Group,Gender,Financial_Background,Current_Study_Occupation,Sleep_Hours,Screen_Time,Free_Time_Activity,Exercise_Frequency,Stress_Level,Experienced_Issue,Main_Reason,Anxious_Exhausted_Frequency,Can_Talk_Openly,Current_Emotional_State,Preferred_Support_Resource,Need_MH_Awareness_in_College
15-18,Male,Rich,Undergraduate Student,8–10 hours,More than 8 hours,Talk to friends/family,1–2 times a week,2 (Low),Anxiety,Social media c,Sometimes,Sometimes,Anxious,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,Sometimes,Neutral,Online Therapy Platforms,Yes
27-30,Male,Rich,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Sometimes,Sometimes,Neutral,Family/Friends,Yes
19-22,Male,Lower Class,Undergraduate Student,6–8 hours,2–4 hours,Talk to friends/family,1–2 times a week,4 (High),Anxiety,Family expecta,Almost every day,Yes,Anxious,Online Therapy Platforms,Yes
15-18,Female,Middle Class,Working Professional,6–8 hours,More than 8 hours,Scroll social media,3–5 times a week,4 (High),Anxiety,Financial stre,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
23-26,Female,Rich,Postgraduate Student,8–10 hours,6–8 hours,Scroll social media,Never,3 (Moderate),Anxiety,Academic press,Sometimes,Sometimes,Happy and stable,Mental Health Apps,No
15-18,Female,Middle Class,Postgraduate Student,8–10 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),Panic attacks,Family expecta,Often,Yes,Happy and stable,Mental Health Apps,Yes
23-26,Male,Middle Class,Working Professional,6–8 hours,2–4 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,Sometimes,Stressed,Support Groups,Yes
23-26,Female,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Scroll social media,1–2 times a week,5 (Very High),Anxiety,Family expecta,Often,No,Depressed / Burnt out,Family/Friends,Yes
23-26,Female,Lower Class,Working Professional,6–8 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Read or learn something new,3–5 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
15-18,Male,Lower Class,Working Professional,8–10 hours,2–4 hours,Scroll social media,Never,4 (High),Anxiety,Uncertainty ab,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Middle Class,School Student,6–8 hours,2–4 hours,Sleep / do nothing,1–2 times a week,5 (Very High),Depression,Uncertainty ab,Rarely,Sometimes,Neutral,Family/Friends,Yes
15-18,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,Sometimes,Anxious,Online Therapy Platforms,Yes
19-22,Male,Lower Class,Postgraduate Student,Less than 6 hours,6–8 hours,Scroll social media,Daily,3 (Moderate),Depression,Relationship i,Often,No,Anxious,Online Therapy Platforms,Yes
23-26,Male,Lower Class,Postgraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,1–2 times a week,3 (Moderate),None of these,Not applicable,Often,Yes,Stressed,Family/Friends,Yes
23-26,Male,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,Daily,4 (High),Anxiety,Academic press,Sometimes,No,Stressed,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Working Professional,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,1 (Very Low),Anxiety,Family expecta,Sometimes,Yes,Happy and stable,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Uncertainty ab,Sometimes,Yes,Neutral,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Working Professional,6–8 hours,2–4 hours,Overthinking,1–2 times a week,2 (Low),Depression,Family expecta,Often,No,Neutral,Family/Friends,Yes
15-18,Female,Rich,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,Daily,5 (Very High),Panic attacks,Academic press,Sometimes,Sometimes,Stressed,Family/Friends,Yes
23-26,Female,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,Never,1 (Very Low),Anxiety,Academic press,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
19-22,Male,Lower Class,Working Professional,6–8 hours,0–2 hours,Go out / exercise,1–2 times a week,2 (Low),Anxiety,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
23-26,Female,Rich,School Student,6–8 hours,0–2 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Relationship i,Rarely,Yes,Happy and stable,Family/Friends,Yes
15-18,Male,Rich,Undergraduate Student,Less than 6 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Almost every day,Sometimes,Neutral,School/College Counselors,Yes
19-22,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Social media c,Rarely,Yes,Anxious,Family/Friends,Yes
15-18,Male,Middle Class,Postgraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,Never,1 (Very Low),Anxiety,Academic press,Often,No,Neutral,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Often,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Female,Middle Class,Postgraduate Student,Less than 6 hours,2–4 hours,Scroll social media,3–5 times a week,2 (Low),Anxiety,Relationship i,Rarely,No,Neutral,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Family expecta,Often,Yes,Stressed,Family/Friends,Yes
23-26,Male,Middle Class,Working Professional,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,8–10 hours,0–2 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Sometimes,Stressed,Family/Friends,Yes
19-22,Male,Middle Class,School Student,More than 10 hours,2–4 hours,Scroll social media,1–2 times a week,4 (High),None of these,Not applicable,Sometimes,Yes,Neutral,Online Therapy Platforms,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,Yes,Anxious,Mental Health Apps,Yes
19-22,Male,Lower Class,School Student,Less than 6 hours,0–2 hours,Watch movies / listen to music,3–5 times a week,4 (High),None of these,Not applicable,Almost every day,Sometimes,Happy and stable,Mental Health Apps,Yes
23-26,Female,Middle Class,School Student,8–10 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),None of these,Not applicable,Rarely,Yes,Depressed / Burnt out,Family/Friends,Yes
15-18,Female,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,2 (Low),None of these,Not applicable,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
27-30,Female,Lower Class,School Student,6–8 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,1 (Very Low),Depression,Academic press,Sometimes,Yes,Anxious,Online Therapy Platforms,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,Daily,3 (Moderate),Anxiety,Academic press,Sometimes,Yes,Neutral,Mental Health Apps,Yes
27-30,Male,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Talk to friends/family,Never,2 (Low),None of these,Not applicable,Often,No,Neutral,Mental Health Apps,Yes
15-18,Male,Lower Class,Postgraduate Student,8–10 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Depression,Relationship i,Sometimes,Sometimes,Stressed,Mental Health Apps,Yes
15-18,Male,Lower Class,Undergraduate Student,8–10 hours,6–8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Anxiety,Academic press,Sometimes,No,Anxious,School/College Counselors,Yes
27-30,Male,Lower Class,School Student,Less than 6 hours,6–8 hours,Scroll social media,3–5 times a week,3 (Moderate),Anxiety,Academic press,Rarely,Sometimes,Anxious,School/College Counselors,Yes
23-26,Female,Lower Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,1 (Very Low),Anxiety,Relationship i,Sometimes,Yes,Stressed,Family/Friends,Yes
19-22,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Depression,Academic press,Sometimes,Yes,Neutral,Family/Friends,Yes
27-30,Female,Rich,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,3–5 times a week,4 (High),Depression,Family expecta,Rarely,Sometimes,Neutral,School/College Counselors,Yes
19-22,Female,Middle Class,School Student,8–10 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,4 (High),Panic attacks,Academic press,Sometimes,Sometimes,Happy and stable,Family/Friends,Yes
23-26,Male,Lower Class,School Student,8–10 hours,2–4 hours,Talk to friends/family,3–5 times a week,5 (Very High),Anxiety,Financial stre,Sometimes,Sometimes,Stressed,Online Therapy Platforms,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Overthinking,Never,3 (Moderate),Anxiety,Financial stre,Sometimes,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Female,Middle Class,School Student,6–8 hours,6–8 hours,Scroll social media,Never,2 (Low),Anxiety,Uncertainty ab,Sometimes,No,Neutral,Family/Friends,No
27-30,Male,Middle Class,School Student,6–8 hours,2–4 hours,Talk to friends/family,Daily,3 (Moderate),Depression,Family expecta,Often,Sometimes,Stressed,Family/Friends,Yes
15-18,Female,Middle Class,School Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,3 (Moderate),Anxiety,Family expecta,Rarely,Sometimes,Stressed,School/College Counselors,No
27-30,Male,Middle Class,Working Professional,6–8 hours,2–4 hours,Read or learn something new,1–2 times a week,2 (Low),Depression,Family expecta,Almost every day,Sometimes,Stressed,Family/Friends,Yes
23-26,Male,Rich,Working Professional,8–10 hours,More than 8 hours,Watch movies / listen to music,3–5 times a week,3 (Moderate),Anxiety,Financial stre,Sometimes,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,Never,3 (Moderate),Anxiety,Family expecta,Sometimes,Yes,Neutral,Family/Friends,Yes
27-30,Female,Rich,Undergraduate Student,Less than 6 hours,More than 8 hours,Watch movies / listen to music,Never,3 (Moderate),Panic attacks,Academic press,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Female,Lower Class,Undergraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Uncertainty ab,Almost every day,No,Happy and stable,Mental Health Apps,Yes
15-18,Female,Middle Class,Postgraduate Student,6–8 hours,More than 8 hours,Talk to friends/family,1–2 times a week,1 (Very Low),Panic attacks,Financial stre,Sometimes,No,Neutral,Family/Friends,Yes
19-22,Female,Middle Class,School Student,6–8 hours,2–4 hours,Scroll social media,1–2 times a week,5 (Very High),Depression,Uncertainty ab,Rarely,No,Anxious,Family/Friends,Yes
15-18,Female,Lower Class,Postgraduate Student,6–8 hours,0–2 hours,Talk to friends/family,3–5 times a week,4 (High),Anxiety,Family expecta,Often,Sometimes,Stressed,Mental Health Apps,Yes
27-30,Female,Middle Class,Postgraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,5 (Very High),Panic attacks,Academic press,Rarely,Sometimes,Neutral,Mental Health Apps,Yes
23-26,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Scroll social media,3–5 times a week,4 (High),Panic attacks,Family expecta,Sometimes,Sometimes,Happy and stable,Mental Health Apps,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Read or learn something new,Never,5 (Very High),Anxiety,Academic press,Sometimes,No,Depressed / Burnt out,Online Therapy Platforms,Yes
27-30,Male,Lower Class,Undergraduate Student,Less than 6 hours,2–4 hours,Scroll social media,1–2 times a week,2 (Low),Panic attacks,Social media c,Almost every day,Yes,Neutral,Mental Health Apps,Yes
19-22,Male,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Panic attacks,Family expecta,Sometimes,No,Neutral,Family/Friends,Yes
23-26,Male,Middle Class,Postgraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,Sometimes,Neutral,School/College Counselors,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,More than 8 hours,Go out / exercise,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Neutral,Support Groups,Yes
15-18,Male,Middle Class,Currently Unemployed,6–8 hours,2–4 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),None of these,Not applicable,Sometimes,No,Anxious,Online Therapy Platforms,Yes
23-26,Female,Middle Class,Undergraduate Student,More than 10 hours,0–2 hours,Read or learn something new,Never,3 (Moderate),None of these,Not applicable,Sometimes,Yes,Stressed,Support Groups,Yes
23-26,Male,Rich,School Student,6–8 hours,2–4 hours,Read or learn something new,Never,4 (High),None of these,Not applicable,Sometimes,No,Stressed,Support Groups,Yes
19-22,Female,Middle Class,Undergraduate Student,6–8 hours,6–8 hours,Scroll social media,1–2 times a week,3 (Moderate),Depression,Academic press,Almost every day,Sometimes,Anxious,Online Therapy Platforms,Yes
27-30,Male,Middle Class,Postgraduate Student,6–8 hours,2–4 hours,Talk to friends/family,3–5 times a week,3 (Moderate),Anxiety,Relationship i,Sometimes,Sometimes,Neutral,Family/Friends,Yes
27-30,Male,Middle Class,School Student,6–8 hours,More than 8 hours,Talk to friends/family,Never,2 (Low),None of these,Not applicable,Almost every day,Yes,Neutral,Online Therapy Platforms,Yes
23-26,Female,Middle Class,School Student,6–8 hours,6–8 hours,Sleep / do nothing,1–2 times a week,3 (Moderate),None of these,Not applicable,Almost every day,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Postgraduate Student,8–10 hours,2–4 hours,Scroll social media,3–5 times a week,4 (High),Anxiety,Academic press,Often,No,Stressed,Support Groups,Yes
19-22,Male,Lower Class,Postgraduate Student,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,2 (Low),Anxiety,Financial stre,Sometimes,No,Neutral,Family/Friends,Yes
27-30,Female,Middle Class,Working Professional,8–10 hours,6–8 hours,Talk to friends/family,1–2 times a week,5 (Very High),None of these,Not applicable,Sometimes,No,Neutral,Online Therapy Platforms,Yes
23-26,Female,Lower Class,Currently Unemployed,Less than 6 hours,2–4 hours,Watch movies / listen to music,1–2 times a week,2 (Low),Anxiety,Relationship i,Sometimes,No,Stressed,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,Less than 6 hours,More than 8 hours,Talk to friends/family,Daily,5 (Very High),Anxiety,Relationship i,Sometimes,No,Happy and stable,Mental Health Apps,Yes
15-18,Male,Lower Class,Working Professional,6–8 hours,6–8 hours,Watch movies / listen to music,1–2 times a week,4 (High),Panic attacks,Academic press,Often,Yes,Neutral,School/College Counselors,Yes
15-18,Male,Middle Class,Undergraduate Student,6–8 hours,2–4 hours,Go out / exercise,1–2 times a week,2 (Low),None of these,Not applicable,Sometimes,Sometimes,Neutral,Family/Friends,Yes
15-18,Male,Lower Class,Undergraduate Student,8–10 hours,More than 8 hours,Scroll social media,1–2 times a week,3 (Moderate),Panic attacks,Academic press,Sometimes,Yes,Neutral,Family/Friends,No
15-18,Male,Middle Class,School Student,6–8 hours,0–2 hours,Go out / exercise,1–2 times a week,3 (Moderate),Anxiety,Academic press,Rarely,Yes,Anxious,School/College Counselors,Yes
15-18,Female,Lower Class,Postgraduate Student,6–8 hours,0–2 hours,Scroll social media,1–2 times a week,4 (High),Anxiety,Uncertainty ab,Rarely,Sometimes,Depressed / Burnt out,Family/Friends,Yes
15-18,Male,Middle Class,Undergraduate Student,8–10 hours,2–4 hours,Overthinking,3–5 times a week,4 (High),Depression,Academic press,Rarely,Yes,Anxious,Family/Friends,Yes
23-26,Male,Middle Class,Undergraduate Student,8–10 hours,6–8 hours,Overthinking,Never,4 (High),Anxiety,Family expecta,Sometimes,No,Stressed,Family/Friends,Yes
